station,lat,lon,state,obszar
KOèLE,50.3358594,18.1444165,opolskie,Wyzynny
BRZEG,50.8588648,17.4641245,opolskie,Wyzynny
BRZEG DOLNY,51.2691744,16.7083805,dolnoúlπskie,Wyzynny
KOSTRZYN NAD ODR•,52.5898737,14.6536335,lubuskie,Pojezierza
GOZDOWICE,52.765851,14.3223027,zachodniopomorskie,Pojezierza
WIDUCHOWA,50.4852832,20.7923885,úwiÍtokrzyskie,Wyzynny
BRANICE,50.0508,17.7902,opolskie,Wyzynny
ISTEBNA,49.5748339,18.8935401,úlπskie,Wyzynny
CIESZYN,49.7488623,18.6334308,úlπskie,Wyzynny
GO£KOWICE,51.1373081,18.1998348,opolskie,Wyzynny
RYBNIK,50.0955793,18.5419933,úlπskie,Wyzynny
TWOR”G MA£Y,50.2550733,18.4646542,úlπskie,Wyzynny
KAMIONKA,49.4939,21.7744,podkarpackie,GÛrski
RAC£AWICE åL•SKIE,50.3109023,17.7724454,opolskie,Wyzynny
PRUDNIK,50.3217212,17.5801041,opolskie,Wyzynny
JARNO£T”WEK,50.2845253,17.4260301,opolskie,Wyzynny
DOBRA,50.3200,17.7333,Opolskie,Wyzynny
KRUPSKI M£YN,50.5737746,18.6234495,úlπskie,Wyzynny
MI DZYLESIE,50.1444,16.6634,dolnoúlπskie,Wyzynny
NYSA,50.4738029,17.3324733,opolskie,Wyzynny
KOPICE,50.6487216,17.4511936,opolskie,Wyzynny
L•DEK-ZDR”J,50.3458254,16.8725948,dolnoúlπskie,Wyzynny
ØELAZNO,50.371621,16.6729932,dolnoúlπskie,Wyzynny
G£UCHO£AZY,50.3170828,17.3833809,opolskie,Wyzynny
BOR”W,50.5970471,20.211177,úwiÍtokrzyskie,Wyzynny
LUBACH”W,50.7698484,16.4316751,dolnoúlπskie,Wyzynny
DZIERØONI”W,50.7281896,16.6514455,dolnoúlπskie,Wyzynny
NAMYS£”W,51.0766258,17.7185619,opolskie,Wyzynny
åWIERZAWA,51.0150774,15.8920701,dolnoúlπskie,Wyzynny
JAWOR,51.0504653,16.1932008,dolnoúlπskie,Wyzynny
WINNICA,52.6441741,20.9405089,mazowieckie,Pojezierza
ODOLAN”W,51.5742177,17.673514,wielkopolskie,Nizinny
OSETNO,51.6354861,16.4581807,dolnoúlπskie,Nizinny
BUK”WKA,50.9501445,21.141585,úwiÍtokrzyskie,Wyzynny
KAMIENNA G”RA,50.7837361,16.0336631,dolnoúlπskie,Wyzynny
PILCHOWICE,50.2147849,18.5626191,úlπskie,Wyzynny
ØAGA—,51.6153231,15.3007662,lubuskie,Nizinny
NOWOGR”D BOBRZA—SKI,51.7986474,15.2365032,lubuskie,Nizinny
KOWARY,50.7937534,15.8338236,dolnoúlπskie,Wyzynny
JAKUSZYCE,50.8167267,15.4315515,dolnoúlπskie,Wyzynny
MIRSK,50.9721836,15.3857926,dolnoúlπskie,Wyzynny
GRYF”W åL•SKI,51.0281455,15.4145051,dolnoúlπskie,Wyzynny
NOWOGRODZIEC,51.1971363,15.3987046,dolnoúlπskie,Wyzynny
SIENIAWKA,50.8965,15.0179,dolnoúlπskie,Wyzynny
BOGATYNIA,50.9077,14.998,dolnoúlπskie,Wyzynny
MACZK”W,52.274152,14.7480012,lubuskie,Nizinny
BOBRY,53.7389228,22.3525576,warmiÒsko-mazurskie,Pojezierza
